integral,"필수적인, 완전한"
initiative,진취성
expansion,"확장, 팽창"
adverse,부정적인
bizarre,기괴한
harness,이용하다
prestige,"위신, 명성"
radically,근본적으로
exhibit,보이다
deposit,"놓다, 두다"
shatter,산산이 부수다
barren,볼모의
consent,동의하다
give rise to,~을 초래하다
size up,평가하다
mimic,모방하다
contiguous,인접한
engage,"참여시키다, 예약하다, 고용하다"
initial,최초의
essential,"필수적인, 근본적인"
pertinent,관련된
traumatic,정신적 충격이 큰
on the whole,전반적으로
dispersal,"확산, 분산"
Sought-after,인기있는
expand,확장하다
mastery,"통제력, 전문적 지식"
perpetually,끊임없이
evacuate,대피하다
excrete,방출하다
gradually,점진적으로
affluent,"풍부한, 부유한"
stationary,움직이지 않는
cling to,~에 달라붙다
endow,"부여하다, 기부하다"
verging on,~에 가까운
contemptuous,업신여기는
accelerate,가속하다
confirm,확인하다
harsh,가혹한
mere subsistence,단순한 생존
adherent,지지자
invaluable,매우 귀중한
successive,연속적인
coating,코팅
resume,재개하다
dual,이중의
composite,합성물
illuminate,밝게 하다
allure,매혹하다
rekindle,다시 불붙게하다
devastation,파괴
tentative,망설이는
suppose,추측하다
primitive,"초기의, 발달되지 않은"
interrupt,중단시키다
conform,순응하다
combine,결합시키다
terminal,마지막의
point out,지적하다
