duration, 기간
massive, 거대한
feasible, 실행 가능한
vibrant,"활기넘치는, 선명한"
accumulation,축적
link,"유대, 관계, 관련짓다"
informally,비공식적으로
sovereign,군주
key,"중요한, 조"
eventually,결국
persistent,지속되는
corroborate,확증하다
inaugurate,"게시하다, 시작하다"
further,추가적인
concentrate on,~에 집중하다
moreover,게다가
execute,"수행하다, 제작하다"
urbane,세련된
boast,"자랑하다, 가지고 있다"
envision,상상하다
intermediate,중간의
frightful,무서운
irrevocable,돌이킬수없는
disintegration,분해
burgeoning,급증하는
terrestrial,속세의
adorn,꾸미다
revolution,혁신
randomness,무작위성
superficial,표면적인
diversion,주의 전환물
originate form,~에서 비롯되다
intimate,친밀한
blossom,번영하다
groundwork,기초
trivial,사소한
posterity,후대
aggravate,악화시키다
obtainable,얻을수 있는
extent,범위
ingenious,기발한
burst,터지다
outlying,외진
revolved around,중심으로 돌아가다
meticulously,세심히
utilitarian,실용적인
constitute,구성하다
reciprocal,상호간의
tendency,경향
artifact,인공유물
expedite,가속화하다
scenario,시나리오
define,"정의하다, 명확히 하다"
propulsion,추친력
resolute,확고한
phase,"시기, 단계"
fairy,"꽤, 공정하게"
