improbable,가능하지 않는
slightly,약간
exclusively,오로지
exert,가하다
intact,손상되지 않은
albeit,비록 ~이지만
complex,"복잡한, 복합건물"
conventional,전통적인
reasonable,합리적인
attainment,성취
progressively,점진적으로
drawback,단점
suppress,"진압하다, 억제하다"
incidentally,덧붙여 말하자면
tactic,전략
substantial,상당한
verify,입증하다
sustained,지속적인
radical,"급진적인, 근본적인"
prime,"최고의, 주요한"
grasp,이해하다
prominently,눈에띄게
precipitate,"재촉하다, 촉진하다"
interlock,서로 맞물리다
accordingly,그에 따라서
relevant,관련있는
remarkably,신기하게도
disputable,논란의 여지가 있는
ambitious,야심 있는
congeal,굳다
cautious,조심성 있는
realm,영역
flattery,아첨
amplify,확대하다
dimension,"크기, 규모"
deplete,다 써버리다
characteristic,"특징, 특유의"
ice sheet,빙하
spectator,"관객, 구경꾼"
bountifully,풍부하게
suffer paralysis,마비를 겪다
variation,변동
periphery,주변
apparently,외관상으로는
Far-reaching,광범위한
embody,"구체화하다, 포함하다"
evade,피하다
against,~에 가까이에
due to,때문에
classify,분류하다
oblige,강요하다
identical,동일한
intimately,친밀하게
questionable,의심스러운
spot,발견하다
immerse,"잠그다, 담그다"
not in consensus with,~와 일치하지 않는
be tempted to,~하고 싶어지다
inception,"시작, 개시"
dam,막다
