compelling,설득력있는
ultimately,결국
bulk,"대부분, 대량"
incompatible,양립할수 없는
substantially,"상당히, 대체로"
seek,"찾다, 시도하다"
unanticipated,예측할수없는
merge,융합하다
encounter,직면하다
residue,잔여물
circumstance,상황
astonishing,놀라운
intermittently,간헐적으로
application,응용
predominant,주된
remote,멀리 떨어진
inordinate,과도한
launch,시작하다
trend,경향
embodiment,구체화된 것
colonize,"서식하다, 식민지화하다"
affect,영향을 미치다
speculation,추측
compound,악화시키다
fascinating,매혹적인
constellation,"무리, 별자리"
unconsolidated,굳지 않은
outstanding,"뛰어난, 미지불의"
outcome,결과
document,문서
intrinsically,본질적으로
disputatious,논쟁적인
diverse,다양한
eerie,기묘한
tenuous,빈약한
eradicate,근절시키다
prone to,하기 쉬운
lodge,박히다
gather momentum,탄력이 붙다
viable,생존 가능한
impediment,장애물
arid,메마른
credible,신뢰할수 있는
vacate,비우다
cushion,"보호하다, 충격을 완화하다"
peculiar,"독특한, 이상한"
attributable to,~에 기인하는
enact,제정하다
stratified,층으로 이루어진
with regard to,~에 관하여
turbulent,격동하는
appraisal,평가
erroneous,잘못된
proponent,지지자
absolute,절대적인
gratify,만족시키다
