lethal,치명적인
modest,수수한
component,구성요소
exploitation,이용
relic,유물
profoundly,심오하게
deflect,방향을 돌리다
highlight,강조하다
exert,"가하다, 행사하다"
potential,"잠재력있는, 가능성"
recurring,되풀이되는
meager,부족한
prevail,"이기다, 만연하다"
exclusively,"오로지, 전적으로"
consensus,합의
now and then,가끔
discrete,별개의
anchor,고정시키다
improbable,가능하지 않는
pragmatic,실용적인
undisputed,"논쟁의 여지가없는, 모두가 인정하는"
allocation,"할당, 배분"
inconclusive,결정적이지 않는
withstand,저항하다
cornerstone,"기초, 기반"
marvelous,놀라운
clue,단서
unintentionally,의도치 않게
peak,정점
continual,끊임없이
thorough,철저한
accurate,정확한
mobilize,동원하다
given that,~을 고려하면
cargo,"화물, 짐"
solitary,"외딴, 외로운"
slightly,"약간, 미세하게"
deliberately,일부러
unthinkable,상상할 수 없는
coinage,신조어
obligation,의무
reconcile,화해시키다
severe,"엄한, 심각한"
foremost,으뜸가는
surge,급증하다
hasten,재촉하다
tentatively,더듬거리며
scorn,경멸하다
pitfall,위험
coupled with,~와 결합된
huge,거대한
span,"기간, 걸치다"
hollow,속이빈
appreciable,상당한
shield,보호하다
spearhead,앞장서다
methodically,체계적으로
manage to,간신히 ~하다
