immediate,"즉각적인, 인접한"
excavate,발굴하다
dictate,"지시하다, 결정하다"
illusory,착각을 일으키는
wield,행사하다
confine,"경계, 제한하다"
sustain,"유지하다, 지탱하다"
subsequence,"연속, 이어서 일어나는 것"
accumulate,모으다
assert,주장하다
progressive,"진보적인, 점진적인"
strikingly,"현저하게, 눈에띄게"
comparable,비슷한
hinder,방해하다
concern,"걱정시키다, 관심"
presumably,아마
ritual,의식적인
unresolved,미결정의
convey,전달하다
devise,고안하다
astonish,놀라게 하다
stringent,엄한
vastly,막대하게
to a large extent,대체로
updated,최신의
impulse,자극
evidence,증거
conjuncture,결합
aberrant,정도를 벗어난
firmly,단단하게
invariably,언제나
sacred,신성한
cramped,비좁은
outdated,구식의
Self-confident,자신감있는
allay,완화시키다
authenticity,진짜
masked,감춘
fracture,균열
scanty,부족한
debris,잔해
unexpectedly,기대치 않게
marginally,조금
infrequent,드문
capacity,능력
conceive,상상하다
immobile,움직이지 못하는
milestone,획기적인 사건
tempting,매혹적인
antagonistic,적대적인
prized,뛰어난
cognitive,인지의
refuge,피난처
full sweep,전범위
notwithstanding,~에도 불구하고
trap,잡다
methodical,체계적인
emergency,"응급, 비상"
gain,이득
signal,신호를 주다
issue,"논쟁, 이슈"
obliterate,지우다
in addition,게다가
at the same time,동시에
voracious predator,탐욕스러운 포식자
