stagnant,활발하지 않은
against,~가까이에
purposely,고의로
prominently,눈에띄게
incidentally,덧붙여말하자면
accordingly,따라서
impervious,통과할 수 없는
catastrophic,비극적인
rudimentary,"기초의, 미발달의"
meet,대처하다
maintain,"유지하다, 주장하다"
deduce,추론하다
archetypal,전형적인
prolonged,오래 계속되는
relative,상대적인
ultimate,"최종의, 근본적인"
brittle,부러지기 쉬운
pioneer,"선구자, 개척하다"
heritage,유산
impetus,자극
threshold,"기준점, 한계점"
intensify,강화하다
orchestrate,조직하다
hamper,방해하다
inhospitable,"불친절한, 살기 어려운"
roughly,대략
prevalent,"만연하는, 일반적인"
orientation,"성향, 오리엔테이션"
converge,모이다
inflate,팽창하다
terrain,"지형, 지역"
critically,결정적으로
in earnest,진지하게
agile,민첩한
standstill,정지
persuasively,설득력 있게
miraculous,기적적인
intangible,무형의
secure,"안전한, 확보하다"
subsist,생존하다
undoubtedly,"의심할 여지 없게, 확실히"
dispose of,처리하다
archive,공식 기록
regenerate,재건하다
mode,방법
commemorate,기념하다
imprecise,부정확한
state,명시하다
anticipate,예상하다
henceforth,지금부터는
transparent,"투명한, 명백한"
prominence,중요한
incorporate,통합하다
meticulous,꼼꼼한
dismantle,분해하다
lavish,풍부한
dynamic,"역동적인, 힘"
overlook,간과하다
dormant,활동하지 않는
exempt,면제된
as a whole,전체적으로
rather,"오히려, 약간"
justify,"정당화하다, 증명하다"
chaotic,혼돈의
commence,시작하다
improvised,즉흥의
stem from,~에서 유래하다
judiciously,현명하게
tolerate,용인하다
