impervious,통과할수없는
dormant,활동하지 않는
mode,방법
ultimate,"최종의, 근본적인"
maintain,"유지하다, 주장하다"
intangible,무형의
meticulous,꼼꼼한
improvised,즉흥적인
judiciously,현명하게
meet,대처하다
initiative,진취성
provided that,만약 ~라면
phenomenal,경이적인
likewise,"마찬가지로, 또한"
tangible,유형의
absurd,어리석은
inclement,혹독한
overly,지나치게
consume,"소비하다, 먹다"
overall,전반적인
promote,촉진하다
proliferation,급증
copious,풍부한
negligible,사소한
notably,특히
inhibit,금지하다
worshiper,숭배자
pool,"모으다, 연합"
at the urging of,~의 권고로
ornamental,장식의
regime,정권
acclaim,극찬하다
comprehensible,이해할수 있는
disparity,"차이, 불균형"
bold,용감한
noteworthy,주목할만한
spectacular,장관인
extracted from,~에서 뽑아낸
tantalize,애타게하다
allied,관련된
authoritative,권위있는
moral,교훈
compatible,양립할수 있는
buildup,축적
stress,"강조하다, 강조"
respective,각각의
peculiarity,특징
rely upon,의존하다
rapid,빠른
saturate,흠뻑적시다
constitution,구성
efface,지우다
manageable,관리하기 쉬운
approach,"접근하다, 접근"
routinely,일상적으로
adapt,적응하다
implication,"결과, 함축"
unambiguous,모호하지 않는
rigor,"엄격한, 어려움"
contentious,논쟁을 불러일으키는
competent,유능한
incredible,믿기어려운
string,일련
decompose,부패하다
lateral,측면의
